Code,Q_1,Q_2,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19
1,7,7,7,7,7,7,7,5,7,5,6,5,6,7,7,7,7,6
2,7,5,6,6,7,5,4,4,6,6,6,6,7,5,5,6,6,7
3,7,6,7,6,6,7,7,0,6,6,7,6,6,6,6,6,6,6
4,7,7,7,7,5,7,7,6,7,6,7,7,7,7,7,7,6,7
5,5,5,4,6,5,6,5,5,5,6,4,5,5,4,5,5,4,5
6,4,3,3,4,4,5,3,1,3,3,3,2,3,4,4,4,3,3
7,6,6,5,6,6,6,6,5,5,4,6,6,6,7,7,6,6,6
8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
9,7,7,7,7,7,7,6,0,0,0,7,7,7,7,7,7,6,7
10,7,7,4,5,7,7,5,6,5,7,7,7,7,7,7,7,7,6
11,6,6,6,7,7,7,6,5,6,6,7,7,7,7,7,7,7,6
12,6,7,7,6,6,7,7,5,5,5,6,5,5,6,6,6,6,6
13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
14,5,5,5,6,6,5,6,7,7,6,5,6,6,7,7,7,6,6
